day,meal,product_id,product_name,energy_100g,sugars_100g,fat_100g,proteins_100g,fiber_100g
Lundi,Petit Déjeuner,1,"Sour cream & onion high protein puffs, sour cream & onion",1812,6.67,15,66.67,0.0
Lundi,Déjeuner,2,Cor-Performance Whey Protein,0,0.0,4.69,75.0,0.0
Lundi,Dîner,3,Vegan Protein - Neutral,163,0.3,6.9,72.0,
Mardi,Petit Déjeuner,4,"Impact Whey Protein, Kokosnuss",1711,4.0,7.3,80.0,
Mardi,Déjeuner,5,Tapoura,126,0.0,0,50.0,
Mardi,Dîner,6,super Spirulina,4,1.0,1,60.0,
Mercredi,Petit Déjeuner,7,Gourmet Premium Pro Protein - Birthday Donut,1581,3.1,3.2,81.0,
Mercredi,Déjeuner,8,Vers Barbecue,0,0.8,31.6,56.3,
Mercredi,Dîner,9,Coffee Protein Drink,18,17.021276595745,0,63.829787234043,
Jeudi,Petit Déjeuner,10,Whey Protein Cookies & Creme Flavour,1675,6.0,5.9,78.0,1.0
Jeudi,Déjeuner,11,Spirulina Micro-Algae (item# 17200 and 10443),0,0.0,0,50.0,0.0
Jeudi,Dîner,12,Spiruline Sainte Marie La Réunion,209,0.0,6,60.0,2.0
Vendredi,Petit Déjeuner,13,Whey harder,1573,4.0,2.4,80.0,
Vendredi,Déjeuner,14,Collagène peptide,151,0.0,0,90.0,0.0
Vendredi,Dîner,15,Sugar Free 100% Whey Protein Powder,0,0.0,0,83.33,0.0
Samedi,Petit Déjeuner,16,Blessed plant protein,1647,2.6246719160105,10.498687664042,60.367454068241,2.6246719160105
Samedi,Déjeuner,17,energy drink sans sucre,13,0.0,0,90.0,
Samedi,Dîner,18,Tapoura,126,0.0,0,50.0,
Dimanche,Petit Déjeuner,19,Nuggets poulet,1607,3.6,7.3,63.1,2.1
Dimanche,Déjeuner,20,Spirulina organic,0,0.1,6,60.0,
Dimanche,Dîner,21,Vers Barbecue,0,0.8,31.6,56.3,
